							Drilling Data									
							Noblige-1									



DEPTH	TVD	ROP_AVG	WOB_AVG	TORQUE_AVG	TORQUE_MIN	TORQUE_MAX	BIT_RPM	FLOWIN	FLOWOUT	PUMP_AVG	MWIN	MWOUT	MTIN	MTOUT	PITTOT	TBR
mMDRT	mTVDRT	m/hr	klbs	kft.lb	kft.lb	kft.lb	rpm	gal/min	gal/min	psi	sg	sg	degC	degC	bbls	

1465	1464.98	212.4	2.1	1	0.3	2.3	186	1150	0	2213	1.03	1.03	26.7	28.7	-999.25	29776
1466	1465.98	158.5	1.6	1.1	0.4	2.5	186	1147	0	2206	1.03	1.03	26.6	28.7	-999.25	29844
1467	1466.98	336.8	2.5	1.6	0.8	2.6	184	1147	0	2270	1.03	1.03	26.6	28.7	-999.25	29871
1468	1467.98	639.3	7.4	1.6	1.3	2.8	184	1147	0	2275	1.03	1.03	26.6	28.7	-999.25	29884
1469	1468.98	302.6	6.1	1.1	0.5	1.8	186	1146	0	2234	1.03	1.03	26.7	28.7	-999.25	29927
1470	1469.98	177.9	3.5	1.3	1.1	2.2	186	1152	0	2233	1.03	1.03	26.6	28.8	-999.25	29986
1471	1470.98	349.9	6.2	1.8	1.6	2.6	185	1152	0	2261	1.03	1.03	26.6	28.8	-999.25	30026
1472	1471.98	333.4	8	1.3	1	1.9	186	1151	0	2244	1.03	1.03	26.6	28.8	-999.25	30057
1473	1472.98	77.5	3.6	1.4	0.6	2.2	186	1154	0	2241	1.03	1.03	26.6	28.8	-999.25	30210
1474	1473.98	220.1	6.2	1.5	1.2	2.2	186	1152	0	2252	1.03	1.03	26.6	28.8	-999.25	30257
1475	1474.98	168.5	3.6	1.2	0.7	2.1	186	1151	0	2207	1.03	1.03	26.6	28.8	-999.25	30325
1476	1475.98	142.6	1.3	0.9	0.4	1.8	188	1160	0	2124	1.03	1.03	26.6	28.8	-999.25	30406
1477	1476.98	209.7	3.4	1.4	0.8	2.2	187	1159	0	2140	1.03	1.03	26.7	28.8	-999.25	30475
1478	1477.98	145.6	3.7	1.1	0.1	2.2	188	1159	0	2140	1.03	1.03	26.6	28.8	-999.25	30553
1479	1478.98	162.4	4.5	1.1	0.3	2.3	187	1158	0	2171	1.03	1.03	26.6	28.7	-999.25	30621
1480	1479.98	367.9	4.5	1.5	1.3	2.4	187	1159	0	2200	1.03	1.03	26.6	28.7	-999.25	30659
1481	1480.98	241.5	5.2	1.2	0.8	2.2	187	1157	0	2195	1.03	1.03	26.6	28.7	-999.25	30712
1482	1481.98	203.7	2.6	1.3	1	2.2	187	1156	0	2189	1.03	1.03	26.6	28.7	-999.25	30771
1483	1482.98	162.9	5.3	1	0.4	2.4	187	1155	0	2205	1.03	1.03	26.6	28.7	-999.25	30846
1484	1483.98	112.4	5.9	1.2	0.5	2.7	187	1156	0	2205	1.03	1.03	26.6	28.7	-999.25	30945
1485	1484.98	52.9	2.9	0.8	0.3	1.8	185	1136	0	2126	1.03	1.03	26.8	28.7	-999.25	31206
1486	1485.98	66.8	1.5	1	0.3	2.1	184	1136	0	2140	1.03	1.03	26.8	28.7	-999.25	31274
1487	1486.98	82.5	1.6	1	0	2.7	184	1135	0	2149	1.03	1.03	26.9	28.7	-999.25	31415
1488	1487.98	66.4	2.3	1.1	0.5	2.4	185	1141	0	2168	1.03	1.03	26.8	28.8	-999.25	31587
1489	1488.98	86.2	1.1	1.3	0.7	2.2	185	1143	0	2178	1.03	1.03	26.8	28.8	-999.25	31698
1490	1489.98	123.4	2.3	1.2	0.9	2.5	185	1142	0	2189	1.03	1.03	26.9	28.8	-999.25	31787
1491	1490.98	124.7	3.9	1.5	1.2	2.7	184	1142	0	2223	1.03	1.03	26.9	28.8	-999.25	31879
1492	1491.98	150.6	4.1	1.3	1	2.3	184	1141	0	2195	1.03	1.03	26.8	28.8	-999.25	31949
1493	1492.98	163.5	1.3	1.4	1.2	2.3	184	1142	0	2188	1.03	1.03	26.8	28.8	-999.25	32017
1494	1493.98	147.8	10.4	1.4	0.9	2.4	184	1141	0	2200	1.03	1.03	26.8	28.8	-999.25	32099
1495	1494.98	69.9	5.4	1	0.5	2.4	185	1143	0	2184	1.03	1.03	26.8	28.7	-999.25	32278
